Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
13,Finished Airing,PG-13 - Teens 13 or older,7.25,2738,199,761305,7648,Zero no Tsukaima,"['crunchyroll', 'netflix']","['action', 'adventure', 'comedy', 'fantasy', 'romance', 'ecchi']",['j.c.staff']
12,Finished Airing,R - 17+ (violence & profanity),6.41,6973,200,756893,2535,Tokyo Ghoul:re 2nd Season,"['crunchyroll', 'shahid']","['action', 'fantasy', 'horror']","['pierrot', 'pierrotplus']"
12,Finished Airing,R+ - Mild Nudity,7.18,3110,201,755422,3674,Boku wa Tomodachi ga Sukunai,"['crunchyroll', 'funimation']","['comedy', 'romance', 'ecchi']",['aicbuild']
26,Finished Airing,PG-13 - Teens 13 or older,8.67,56,202,754589,24950,Mushishi,"['funimation', 'tubi tv']","['adventure', 'fantasy', 'mystery', 'sliceoflife', 'supernatural']",['artland']
24,Finished Airing,R - 17+ (violence & profanity),7.37,2176,203,753603,5324,Toaru Majutsu no Index,"['crunchyroll', 'funimation']","['action', 'sci-fi']",['j.c.staff']
13,Finished Airing,PG-13 - Teens 13 or older,8.23,297,204,753579,17157,Ookami to Koushinryou,"['funimation', 'netflix']","['adventure', 'fantasy', 'romance']",['imagin']
12,Finished Airing,R - 17+ (violence & profanity),7.87,748,205,752547,9099,Beastars,['netflix'],"['drama', 'sliceoflife']",['orange']
12,Finished Airing,PG-13 - Teens 13 or older,8.32,223,206,751475,16396,Sono Bisque Doll wa Koi wo Suru,"['crunchyroll', 'funimation']","['romance', 'sliceoflife']",['cloverworks']
12,Finished Airing,PG-13 - Teens 13 or older,8.24,283,207,749577,13272,Danshi Koukousei no Nichijou,"['crunchyroll', 'funimation']",['genre:comedy'],['sunrise']
26,Finished Airing,R - 17+ (violence & profanity),7.9,720,208,748643,20106,Higurashi no Naku Koro ni,"['hidive', 'netflix']","['horror', 'mystery', 'supernatural', 'suspense']",['studiodeen']
1,Finished Airing,G - All Ages,8.59,77,209,748588,10718,Ookami Kodomo no Ame to Yuki,[],"['fantasy', 'sliceoflife']",['studiochizu']
1,Finished Airing,G - All Ages,8.3,236,210,747829,9670,Hotarubi no Mori e,[],"['drama', 'romance', 'supernatural']","[""brain'sbase""]"
1,Finished Airing,R+ - Mild Nudity,8.16,364,211,747297,11873,Akira,"['funimation', 'netflix']","['action', 'adventure', 'horror', 'sci-fi', 'supernatural']",['tokyomovieshinsha']
6,Finished Airing,PG-13 - Teens 13 or older,8.02,536,212,744491,27252,FLCL,['funimation'],"['action', 'avantgarde', 'comedy', 'sci-fi']","['gainax', 'productioni.g']"
12,Finished Airing,PG-13 - Teens 13 or older,7.34,2292,213,743650,9285,Free!,"['crunchyroll', 'funimation']",['genre:sports'],"['kyotoanimation', 'animationdo']"
13,Finished Airing,PG-13 - Teens 13 or older,7.62,1295,214,743037,6388,Orange,['crunchyroll'],"['drama', 'romance', 'sci-fi']",['telecomanimationfilm']
43,Finished Airing,R - 17+ (violence & profanity),8.69,51,215,742363,23823,Great Teacher Onizuka,"['crunchyroll', 'netflix']","['comedy', 'drama']",['pierrot']
12,Finished Airing,R - 17+ (violence & profanity),7.26,2683,216,740827,3267,Koutetsujou no Kabaneri,"['crunchyroll', 'netflix']","['action', 'drama', 'fantasy', 'horror', 'supernatural']",['witstudio']
24,Finished Airing,R - 17+ (violence & profanity),8.5,114,217,739898,27158,Banana Fish,[],"['action', 'adventure', 'drama']",['mappa']
1,Finished Airing,G - All Ages,8.13,402,218,735216,5584,Toki wo Kakeru Shoujo,[],"['drama', 'romance', 'sci-fi']",['madhouse']
131,Finished Airing,PG-13 - Teens 13 or older,7.42,1970,219,734865,9215,Dragon Ball Super,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy', 'fantasy']",['toeianimation']
12,Finished Airing,R+ - Mild Nudity,7.43,1917,220,734328,3794,High School DxD BorN,['netflix'],"['action', 'comedy', 'romance', 'ecchi']",['tnk']
12,Finished Airing,R - 17+ (violence & profanity),8.47,127,221,730911,11329,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"['crunchyroll', 'animax asia']","['drama', 'fantasy', 'suspense']",['whitefox']
12,Finished Airing,R - 17+ (violence & profanity),7.7,1120,222,729417,5777,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","['hidive', 'netflix']","['action', 'adventure', 'fantasy']",['a-1pictures']
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,223,727010,21333,Shinsekai yori,"['crunchyroll', 'hidive']","['drama', 'horror', 'mystery', 'sci-fi', 'supernatural']",['a-1pictures']
12,Finished Airing,R - 17+ (violence & profanity),8.2,324,224,726858,6279,Bungou Stray Dogs 2nd Season,"['crunchyroll', 'netflix']","['action', 'mystery', 'supernatural']",['bones']
12,Finished Airing,R+ - Mild Nudity,7.25,2728,225,726705,3611,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"['funimation', 'netflix']","['comedy', 'ecchi']",['j.c.staff']
167,Finished Airing,PG-13 - Teens 13 or older,7.85,793,226,726205,16977,InuYasha,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy', 'fantasy', 'romance', 'supernatural']",['sunrise']
12,Finished Airing,PG-13 - Teens 13 or older,7.57,1457,227,713967,3869,Yamada-kun to 7-nin no Majo,['crunchyroll'],"['comedy', 'mystery', 'romance', 'supernatural']",['lidenfilms']
13,Finished Airing,PG-13 - Teens 13 or older,7.45,1840,228,712215,6500,K,"['crunchyroll', 'netflix']","['action', 'mystery', 'supernatural']",['gohands']
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2847,229,711875,1932,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['crunchyroll', 'hidive']","['action', 'adventure', 'comedy', 'fantasy', 'romance']",['j.c.staff']
12,Finished Airing,R - 17+ (violence & profanity),7.62,1296,230,711376,2794,Owari no Seraph: Nagoya Kessen-hen,[],"['action', 'drama', 'supernatural']",['witstudio']
20,Finished Airing,R - 17+ (violence & profanity),8.38,177,231,709165,12122,Fumetsu no Anata e,"['crunchyroll', 'netflix']","['adventure', 'drama', 'supernatural']","[""brain'sbase""]"
12,Finished Airing,PG-13 - Teens 13 or older,7.56,1489,232,699224,2423,Sakamoto Desu ga?,"['hidive', 'shahid']",['genre:comedy'],['studiodeen']
25,Finished Airing,PG-13 - Teens 13 or older,8.22,304,233,696610,13517,Fruits Basket 1st Season,"['crunchyroll', 'funimation']","['drama', 'fantasy', 'romance']",['tmsentertainment']
12,Finished Airing,PG-13 - Teens 13 or older,8.0,571,234,694029,11083,"Komi-san wa, Comyushou desu.",['netflix'],['genre:comedy'],['olm']
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2204,235,689760,1511,Ao no Exorcist: Kyoto Fujouou-hen,['crunchyroll'],"['action', 'fantasy']",['a-1pictures']
12,Finished Airing,R - 17+ (violence & profanity),7.2,2995,236,687578,1885,Kakegurui××,[],"['drama', 'mystery']",['mappa']
11,Finished Airing,R - 17+ (violence & profanity),8.15,374,237,686286,3795,Nisemonogatari,"['crunchyroll', 'funimation']","['comedy', 'mystery', 'supernatural', 'ecchi']",['shaft']
12,Finished Airing,R+ - Mild Nudity,6.99,3985,238,684929,3733,Monster Musume no Iru Nichijou,['hidive'],"['comedy', 'fantasy', 'romance', 'ecchi']",['lerche']
25,Finished Airing,PG-13 - Teens 13 or older,8.31,231,239,682981,4861,Kuroko no Basket 3rd Season,"['crunchyroll', 'netflix']",['genre:sports'],['productioni.g']
12,Finished Airing,PG-13 - Teens 13 or older,8.54,93,240,681283,5670,Haikyuu!! To the Top Part 2,['crunchyroll'],['genre:sports'],['productioni.g']
12,Finished Airing,PG-13 - Teens 13 or older,7.55,1523,241,679586,2431,Chuunibyou demo Koi ga Shitai! Ren,['hidive'],"['comedy', 'romance']",['kyotoanimation']
12,Finished Airing,PG-13 - Teens 13 or older,7.39,2074,242,677389,4708,Kiznaiver,['crunchyroll'],"['drama', 'romance', 'sci-fi']",['trigger']
24,Finished Airing,PG-13 - Teens 13 or older,7.24,2765,243,675731,3824,Accel World,"['crunchyroll', 'funimation']","['action', 'romance', 'sci-fi']",['sunrise']
26,Finished Airing,PG-13 - Teens 13 or older,8.22,310,244,674863,13633,Trigun,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy', 'drama', 'sci-fi']",['madhouse']
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2217,245,667745,8294,"Ijiranaide, Nagatoro-san","['crunchyroll', 'anime digital network']",['genre:comedy'],['telecomanimationfilm']
24,Finished Airing,R+ - Mild Nudity,8.32,220,246,665988,24006,NHK ni Youkoso!,['funimation'],"['comedy', 'drama', 'romance']",['gonzo']
12,Finished Airing,PG-13 - Teens 13 or older,8.43,149,247,664536,16869,Grand Blue,[],['genre:comedy'],['zero-g']
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1218,248,663542,5649,Hai to Gensou no Grimgar,"['crunchyroll', 'netflix']","['action', 'adventure', 'drama', 'fantasy']",['a-1pictures']
1,Finished Airing,PG-13 - Teens 13 or older,7.58,1420,249,661993,1329,Boku no Hero Academia the Movie 1: Futari no Hero,"['crunchyroll', 'netflix']",['genre:action'],['bones']
1,Finished Airing,R+ - Mild Nudity,7.57,1452,250,661050,3387,Sword Art Online Movie: Ordinal Scale,"['crunchyroll', 'netflix']","['action', 'adventure', 'fantasy']",['a-1pictures']
1,Finished Airing,PG-13 - Teens 13 or older,8.46,129,251,660895,4414,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,['crunchyroll'],"['adventure', 'comedy', 'fantasy']",['j.c.staff']
12,Finished Airing,PG-13 - Teens 13 or older,6.38,7095,252,660714,2673,Eromanga-sensei,"['crunchyroll', 'funimation']","['comedy', 'drama', 'romance', 'ecchi']",['a-1pictures']
13,Finished Airing,R - 17+ (violence & profanity),7.49,1725,253,659931,5596,Hellsing,"['crunchyroll', 'funimation']","['action', 'horror', 'supernatural']",['gonzo']
13,Finished Airing,R - 17+ (violence & profanity),8.07,473,254,659302,22999,Serial Experiments Lain,"['crunchyroll', 'funimation']","['avantgarde', 'drama', 'mystery', 'sci-fi', 'supernatural']",['trianglestaff']
4,Finished Airing,PG-13 - Teens 13 or older,7.0,3963,255,654733,767,Nanatsu no Taizai: Seisen no Shirushi,[],"['action', 'adventure', 'fantasy']",['a-1pictures']
12,Finished Airing,R - 17+ (violence & profanity),7.58,1402,256,654669,3374,Sword Art Online: Alicization - War of Underworld,['crunchyroll'],"['action', 'adventure', 'fantasy']",['a-1pictures']
12,Finished Airing,PG-13 - Teens 13 or older,7.58,1406,257,654197,2552,Tsurezure Children,"['crunchyroll', 'funimation']","['comedy', 'romance']",['studiogokumi']
12,Finished Airing,R+ - Mild Nudity,6.69,5373,258,651274,5299,Domestic na Kanojo,"['crunchyroll', 'hidive']","['drama', 'romance']",['diomedéa']
12,Finished Airing,R - 17+ (violence & profanity),7.69,1138,259,651006,8433,Wonder Egg Priority,"['crunchyroll', 'funimation']","['drama', 'fantasy']",['cloverworks']
12,Finished Airing,PG-13 - Teens 13 or older,7.98,591,260,650393,1387,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"['crunchyroll', 'netflix']","['gourmet', 'ecchi']",['j.c.staff']
103,Finished Airing,PG-13 - Teens 13 or older,8.02,534,261,649775,13285,D.Gray-man,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy']",['tmsentertainment']
12,Finished Airing,PG-13 - Teens 13 or older,6.99,3990,262,647602,4374,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['crunchyroll', 'funimation']",['genre:comedy'],['aicbuild']
24,Finished Airing,PG-13 - Teens 13 or older,6.45,6729,263,644118,1340,Nanatsu no Taizai: Kamigami no Gekirin,[],"['action', 'adventure', 'fantasy', 'supernatural']",['studiodeen']
12,Finished Airing,R - 17+ (violence & profanity),7.15,3263,264,643224,3054,Rokudenashi Majutsu Koushi to Akashic Records,"['crunchyroll', 'funimation']","['action', 'fantasy']",['lidenfilms']
12,Finished Airing,R - 17+ (violence & profanity),8.73,42,265,642222,15152,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,['crunchyroll'],"['drama', 'fantasy', 'ecchi']",['studiobind']
10,Finished Airing,PG-13 - Teens 13 or older,7.27,2646,266,641965,1975,Blood Lad,['crunchyroll'],"['action', 'comedy', 'supernatural']","[""brain'sbase""]"
12,Finished Airing,R - 17+ (violence & profanity),7.83,828,267,639466,7208,91 Days,['crunchyroll'],"['action', 'drama']",['shuka']
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2185,268,639173,1772,Nisekoi:,['crunchyroll'],"['comedy', 'romance']",['shaft']
13,Finished Airing,PG-13 - Teens 13 or older,9.13,2,269,638374,23104,Kaguya-sama wa Kokurasetai: Ultra Romantic,"['crunchyroll', 'funimation']","['comedy', 'suspense']",['a-1pictures']
13,Finished Airing,R+ - Mild Nudity,6.76,5048,270,638268,3289,Rosario to Vampire,"['crunchyroll', 'funimation']","['comedy', 'fantasy', 'romance', 'ecchi']",['gonzo']
13,Finished Airing,R - 17+ (violence & profanity),7.38,2095,271,636280,5156,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","['crunchyroll', 'netflix']","['action', 'fantasy']",['silverlink.']
12,Finished Airing,PG-13 - Teens 13 or older,7.12,3412,272,635362,4287,Himouto! Umaru-chan,['hidive'],['genre:comedy'],['dogakobo']
12,Finished Airing,PG-13 - Teens 13 or older,6.88,4463,273,634662,2388,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['crunchyroll', 'funimation']","['comedy', 'fantasy', 'ecchi']",['ajia-do']
24,Finished Airing,PG-13 - Teens 13 or older,7.79,898,274,634389,2501,Enen no Shouboutai: Ni no Shou,['crunchyroll'],"['action', 'supernatural']",['davidproduction']
26,Finished Airing,PG-13 - Teens 13 or older,8.17,363,275,634230,13792,K-On!!,['hidive'],['genre:comedy'],['kyotoanimation']
26,Finished Airing,R+ - Mild Nudity,7.75,976,276,624344,7943,Claymore,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy', 'supernatural']",['madhouse']
12,Finished Airing,PG-13 - Teens 13 or older,8.38,180,277,624125,12849,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,['crunchyroll'],"['comedy', 'romance']",['feel.']
26,Finished Airing,R - 17+ (violence & profanity),8.77,36,278,620890,22580,Monogatari Series: Second Season,"['crunchyroll', 'funimation']","['comedy', 'mystery', 'romance', 'supernatural']",['shaft']
22,Finished Airing,PG-13 - Teens 13 or older,8.39,170,279,618628,14474,3-gatsu no Lion,"['crunchyroll', 'funimation']","['drama', 'sliceoflife']",['shaft']
12,Finished Airing,R+ - Mild Nudity,7.17,3152,280,618348,6009,Kuzu no Honkai,"['hidive', 'netflix']","['drama', 'romance']",['lerche']
12,Finished Airing,R+ - Mild Nudity,5.54,10941,281,617914,3018,School Days,['crunchyroll'],"['drama', 'romance']",['tnk']
12,Finished Airing,R+ - Mild Nudity,6.72,5255,282,614040,1891,Shinmai Maou no Testament,"['crunchyroll', 'netflix']","['action', 'fantasy', 'romance', 'ecchi']",['productionims']
112,Finished Airing,PG-13 - Teens 13 or older,8.45,138,283,613897,20394,Yuu☆Yuu☆Hakusho,"['crunchyroll', 'funimation']","['action', 'comedy', 'supernatural']",['pierrot']
12,Finished Airing,PG-13 - Teens 13 or older,7.91,695,284,609536,9054,Tonikaku Kawaii,['crunchyroll'],"['comedy', 'romance']",['sevenarcs']
12,Finished Airing,PG-13 - Teens 13 or older,8.39,171,285,608776,12147,Barakamon,['funimation'],['genre:sliceoflife'],['kinemacitrus']
24,Finished Airing,PG-13 - Teens 13 or older,7.91,692,286,608557,4643,Ore Monogatari!!,"['crunchyroll', 'hidive']","['comedy', 'romance']",['madhouse']
24,Finished Airing,PG-13 - Teens 13 or older,7.74,998,287,608101,11309,Lucky☆Star,['funimation'],['genre:comedy'],['kyotoanimation']
1,Finished Airing,PG-13 - Teens 13 or older,8.61,74,288,606291,9373,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['netflix', 'shahid']","['drama', 'romance', 'supernatural']",['cloverworks']
12,Finished Airing,PG-13 - Teens 13 or older,6.83,4696,289,606117,2135,Gakusen Toshi Asterisk,"['crunchyroll', 'funimation']","['action', 'comedy', 'fantasy', 'romance', 'sci-fi', 'supernatural', 'ecchi']",['a-1pictures']
11,Finished Airing,R - 17+ (violence & profanity),7.4,2030,290,605516,1394,Psycho-Pass 2,['crunchyroll'],"['action', 'sci-fi', 'suspense']",['tatsunokoproduction']
12,Finished Airing,PG-13 - Teens 13 or older,7.76,963,291,605062,6802,Akagami no Shirayuki-hime,"['crunchyroll', 'funimation']","['drama', 'fantasy', 'romance']",['bones']
12,Finished Airing,PG-13 - Teens 13 or older,7.0,3980,292,604348,5085,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,['hidive'],['genre:comedy'],['silverlink.']
12,Finished Airing,PG-13 - Teens 13 or older,7.29,2544,293,603912,2892,Blend S,"['crunchyroll', 'funimation']",['genre:comedy'],['a-1pictures']
13,Finished Airing,PG-13 - Teens 13 or older,7.47,1763,294,603140,2494,Amagi Brilliant Park,['hidive'],"['comedy', 'drama', 'fantasy']",['kyotoanimation']
13,Finished Airing,PG-13 - Teens 13 or older,7.43,1931,295,603061,4586,Sukitte Ii na yo.,['hidive'],"['drama', 'romance']",['zexcs']
13,Finished Airing,PG-13 - Teens 13 or older,6.56,6071,296,602747,12248,Tate no Yuusha no Nariagari Season 2,"['crunchyroll', 'funimation']","['action', 'adventure', 'drama', 'fantasy']","['kinemacitrus', 'drmovie']"
13,Finished Airing,PG-13 - Teens 13 or older,7.54,1542,297,600141,5496,Baka to Test to Shoukanjuu,"['crunchyroll', 'funimation']","['comedy', 'romance']",['silverlink.']
12,Finished Airing,PG-13 - Teens 13 or older,7.49,1707,298,596892,4069,Saenai Heroine no Sodatekata,"['crunchyroll', 'funimation']","['comedy', 'romance', 'ecchi']",['a-1pictures']
24,Finished Airing,R+ - Mild Nudity,7.06,3694,299,596458,2198,Strike the Blood,"['crunchyroll', 'netflix']","['action', 'fantasy', 'supernatural', 'ecchi']","['silverlink.', 'connect']"
12,Finished Airing,PG-13 - Teens 13 or older,6.65,5628,300,595707,2215,IS: Infinite Stratos,['hidive'],"['action', 'comedy', 'sci-fi', 'ecchi']",['8bit']
